Source,Price,Location,Sqm,Rooms
Domiporta,'3 300',Warszawa,70,2
Domiporta,'3 000',Łomianki,47,3
Domiporta,'3 000',Nysa,60,2
Domiporta,'11 500',Warszawa,98,3
Domiporta,'4 800',Warszawa,75.47,4
Domiporta,'14 000',Warszawa,164,4
Domiporta,'9 000',Warszawa,145,6
Domiporta,'20 000',Warszawa,120,3
Domiporta,'8 960',Warszawa,63.45,2
Domiporta,'11 000',Warszawa,90,4
Domiporta,'3 500',Warszawa,50.10,2
Domiporta,'9 000',Warszawa,103.40,4
Domiporta,'3 300',Warszawa,36,2
Domiporta,'18 500',Warszawa,268,4
Domiporta,'3 400',Warszawa,43.40,2
Domiporta,'5 500',Warszawa,65.40,3
Domiporta,'8 000',Warszawa,80,3
Domiporta,'12 000',Warszawa,125,3
Domiporta,'10 500',Warszawa,105,3
Domiporta,'12 000',Warszawa,177,4
Domiporta,'12 000',Warszawa,177,4
Domiporta,'12 500',Warszawa,124.60,4
Domiporta,'4 900',Warszawa,60,3
Domiporta,'4 200',Warszawa,100,3
Domiporta,'3 250',Warszawa,33,1
Domiporta,'5 500',Warszawa,106,4
Domiporta,'3 000',Warszawa,48,2
Domiporta,'3 000',Warszawa,45,2
Domiporta,'2 950',Warszawa,41,2
Domiporta,'3 300',Warszawa,34.50,2
Domiporta,'4 000',Warszawa,43,2
Domiporta,'6 000',Warszawa,95,3
Domiporta,'7 000',Warszawa,58.40,2
Domiporta,'6 000',Warszawa,53.94,2
Domiporta,'3 500',Warszawa,53,2
Domiporta,'3 500',Warszawa,38,2
Domiporta,'6 500',Warszawa,86.50,3
Domiporta,'5 800',Warszawa,62,2
Domiporta,'4 600',Warszawa,82,3
Domiporta,'3 200',Warszawa,35.03,1
Domiporta,'6 300',Warszawa,88.91,4
Domiporta,'3 300',Warszawa,35,1
Domiporta,'3 300',Warszawa,28.50,1
Domiporta,'3 500',Kraków,70,2
Domiporta,'4 200',Warszawa,61.20,2
Domiporta,'3 300',Warszawa,41,2
Domiporta,'4 700',Warszawa,56,2
Domiporta,'10 000',Warszawa,86,3
Domiporta,'5 200',Warszawa,64.70,3
Domiporta,'8 000',Warszawa,160,5
Domiporta,'5 000',Warszawa,48.50,2
Domiporta,'5 000',Warszawa,29,1
Domiporta,'1 800',Białystok,39,2
Domiporta,'3 000',Katowice,43,2
Domiporta,'3 200',Warszawa,50,2
Domiporta,'2 950',Warszawa,48,2
Domiporta,'5 000',Warszawa,67,3
Domiporta,'4 500',Katowice,97,2
Domiporta,'3 200',Warszawa,59.38,3
Domiporta,'12 000',Warszawa,100,3
Domiporta,'35 000',Warszawa,160.47,4
Domiporta,'10 000',Warszawa,130,3
Domiporta,'4 800',Warszawa,45,2
Domiporta,'3 200',Warszawa,40,2
Domiporta,'4 000',Warszawa,40,2
Domiporta,'3 000',Warszawa,50,2
Domiporta,'7 000',Warszawa,45,2
Domiporta,'5 000',Warszawa,52,2
Domiporta,'9 000',Warszawa,43,2
Domiporta,'8 250',Warszawa,115,2
Domiporta,'5 800',Warszawa,138,3
Domiporta,'3 500',Warszawa,42,2
Domiporta,'15 000',Warszawa,155,5
Domiporta,'3 500',Warszawa,34,1
Domiporta,'5 000',Warszawa,60,2
Domiporta,'9 000',Warszawa,104,3
Domiporta,'3 000',Warszawa,36.03,2
Domiporta,'3 000',Warszawa,57,3
Domiporta,'6 500',Warszawa,64,2
Domiporta,'12 000',Warszawa,85,3
Domiporta,'3 500',Warszawa,47,2
Domiporta,'15 500',Warszawa,168,3
Domiporta,'7 000',Warszawa,78,2
Domiporta,'4 900',Warszawa,41,2
Domiporta,'10 500',Warszawa,88,4
Domiporta,'18 000',Warszawa,175,6
Domiporta,'3 000',Warszawa,37,1
Domiporta,'7 500',Warszawa,43,2
Domiporta,'7 500',Warszawa,43,2
Domiporta,'5 500',Warszawa,69,3
Domiporta,'6 500',Warszawa,42,2
Domiporta,'14 400',Warszawa,172,4
Domiporta,'9 338',Warszawa,93,5
Domiporta,'8 000',Warszawa,125,3
Domiporta,'5 000',Warszawa,57,3
Domiporta,'4 900',Warszawa,57,2
Domiporta,'15 000',Warszawa,192.50,5
Domiporta,'5 000',Warszawa,99,4
Domiporta,'4 700',Warszawa,87,4
Domiporta,'4 800',Warszawa,56,2
Domiporta,'8 000',Warszawa,85,3
Domiporta,'15 000',Warszawa,188,5
Domiporta,'3 700',Warszawa,46,2
Domiporta,'4 000',Warszawa,66,2
Domiporta,'18 000',Warszawa,200,7
Domiporta,'10 000',Warszawa,80,3
Domiporta,'16 000',Warszawa,149.33,3
Domiporta,'30 000',Warszawa,319,2
Domiporta,'37 000',Warszawa,295,6
Domiporta,'2 600',Warszawa,50,3
Domiporta,'2 150',Bydgoszcz,32,2
Domiporta,'4 000',Warszawa,84,3
Domiporta,'3 500',Warszawa,49,2
Domiporta,'3 100',Warszawa,57,2
Domiporta,'5 000',Warszawa,105,4
Domiporta,'3 000',Warszawa,48,2
Domiporta,'2 700',Kraków,55,1
Domiporta,'5 500',Warszawa,63,3
Domiporta,'2 300',Wrocław,37.03,2
Domiporta,'3 800',Warszawa,46,2
Domiporta,'4 800',Warszawa,45,2
Domiporta,'10 000',Warszawa,93,2
Domiporta,'2 600',Warszawa,50,2
Domiporta,'2 800',Warszawa,50,3
Domiporta,'3 200',Warszawa,55,2
Domiporta,'2 400',Warszawa,36,1
Domiporta,'7 000',Warszawa,117.30,4
Domiporta,'3 000',Warszawa,80,4
Domiporta,'4 500',Warszawa,42,2
Domiporta,'2 900',Warszawa,47.50,2
Domiporta,'2 600',Warszawa,45,2
Domiporta,'2 200',Warszawa,37,1
Domiporta,'2 520',Warszawa,46,2
Domiporta,'2 400',Warszawa,50.80,2
Domiporta,'13 200',Warszawa,118,4
Domiporta,'2 800',Warszawa,37,1
Domiporta,'3 600',Warszawa,55.70,2
Domiporta,'3 900',Warszawa,67.30,3
Domiporta,'2 300',Warszawa,36.90,2
Domiporta,'5 500',Warszawa,85,3
Domiporta,'3 000',Warszawa,37,2
Domiporta,'3 000',Warszawa,54.80,3
Domiporta,'4 000',Warszawa,48,2
Domiporta,'3 800',Warszawa,64,2
Domiporta,'3 300',Warszawa,57,3
Domiporta,'3 900',Warszawa,50,2
Domiporta,'2 800',Warszawa,41.30,1
Domiporta,'2 900',Warszawa,50.50,2
Domiporta,'1 600',Łódź,35,2
Domiporta,'4 600',Warszawa,48,2
Domiporta,'5 700',Warszawa,63,2
Domiporta,'10 000',Warszawa,72.30,2
Domiporta,'4 200',Warszawa,74,3
Domiporta,'2 700',Warszawa,50,2
Domiporta,'2 600',Warszawa,37.70,1
Domiporta,'3 900',Warszawa,89,3
Domiporta,'2 500',Warszawa,48,2
Domiporta,'2 400',Warszawa,34,2
Domiporta,'3 700',Warszawa,54.50,2
Domiporta,'12 000',Warszawa,120,3
Domiporta,'11 500',Warszawa,203,4
Domiporta,'9 500',Warszawa,105,3
Domiporta,'2 000',Poznań,43,2
Domiporta,'2 000',Legnica,55,3
Domiporta,'1 700',Warszawa,24,1
Domiporta,'3 000',Warszawa,34,2
Domiporta,'2 100',Warszawa,39,1
Domiporta,'4 000',Józefosław,90,3
Domiporta,'5 500',Warszawa,58,2
Domiporta,'3 500',Warszawa,65,2
Domiporta,'4 500',Warszawa,30,2
Domiporta,'3 200',Warszawa,48,2
Domiporta,'3 600',Warszawa,62,3
Domiporta,'1 400',Łódź,31,1
Domiporta,'1 700',Łódź,15,1
Domiporta,'4 000',Zabrze,90,4
Domiporta,'2 900',Łódź,52,3
Domiporta,'4 000',Warszawa,66,3
Domiporta,'6 000',Warszawa,45,2
Domiporta,'8 000',Warszawa,117,4
Domiporta,'10 000',Warszawa,118,4
Domiporta,'3 500',Warszawa,36,2
Domiporta,'3 500',Warszawa,39.80,2
Domiporta,'3 000',Marki,80,3
Domiporta,'3 500',Warszawa,47,2
Domiporta,'10 000',Warszawa,120,3
Domiporta,'8 000',Warszawa,106,3
Domiporta,'14 000',Warszawa,163,4
Domiporta,'16 000',Warszawa,180,4
Domiporta,'10 500',Warszawa,140,4
Domiporta,'8 000',Warszawa,68,3
Domiporta,'3 200',Warszawa,40,2
Domiporta,'6 000',Warszawa,120,4
Domiporta,'3 800',Warszawa,45,2
Domiporta,'2 900',Warszawa,46.40,2
Domiporta,'6 000',Warszawa,104.80,3
Domiporta,'4 500',Warszawa,73.68,2
Domiporta,'4 200',Warszawa,100,3
Domiporta,'15 900',Warszawa,197.40,4
Domiporta,'3 700',Warszawa,46,2
Domiporta,'3 300',Warszawa,49,3
Domiporta,'3 500',Warszawa,42,2
Domiporta,'1 950',Toruń,52,3
Domiporta,'2 700',Warszawa,33,2
Domiporta,'2 700',Warszawa,38,2
Domiporta,'3 000',Piastów,80,3
Domiporta,'5 500',Warszawa,75,3
Domiporta,'3 500',Łódź,86,3
Domiporta,'1 700',Warszawa,25,1
Domiporta,'2 400',Wrocław,27,1
Domiporta,'3 700',Wrocław,43,2
Domiporta,'10 500',Wrocła,140,4
Domiporta,'3 900',Wrocław,67.56,3
Domiporta,'4 500',Wrocław,83,4
Domiporta,'4 000',Warszawa,48,2
Domiporta,'3 600',Warszawa,80,3
Domiporta,'3 000',Warszawa,38,2
Domiporta,'9 000',Warszawa,108.19,4
Domiporta,'7 000',Warszawa,94.30,3
Domiporta,'2 500',Warszawa,39,1
Domiporta,'5 500',Warszawa,68,2
Domiporta,'4 500',Warszawa,37,2
Domiporta,'3 500',Warszawa,50,2
Domiporta,'3 000',Warszawa,46,2
Domiporta,'3 000',Warszawa,29,1
Domiporta,'13 000',Warszawa,140,4
Domiporta,'4 000',Warszawa,42,1
Domiporta,'5 800',Warszawa,65,3
Domiporta,'9 700',Warszawa,93,3
Domiporta,'3 000',Raszy,40,2
Domiporta,'4 600',Warszawa,65,3
Domiporta,'10 000',Warszawa,115,4
Domiporta,'8 000',Warszawa,81,3
Domiporta,'8 600',Warszawa,78,3
Domiporta,'5 500',Warszawa,100,4
Domiporta,'3 500',Warszawa,64,3
Domiporta,'2 000',Częstochowa,58,2
Domiporta,'4 200',Warszawa,74,3
Domiporta,'2 800',Warszawa,57,2
Domiporta,'5 500',Gdańsk,50,3
Domiporta,'2 190',Warszawa,52,2
Domiporta,'3 200',Wyszków,71,3
Domiporta,'3 500',Warszawa,45.60,2
Domiporta,'2 600',Legionow,55,2
Domiporta,'2 900',Legionow,50,2
Domiporta,'9 000',Warszawa,115,4
Domiporta,'4 900',Warszawa,69.15,2
Domiporta,'4 800',Warszawa,55,3
Domiporta,'2 100',Warszawa,20.37,1
Domiporta,'2 500',Wrocław,50,2
Domiporta,'2 000',Warszawa,31,1
Domiporta,'3 000',Kraków,43,2
Domiporta,'3 000',Warszawa,52.45,3
Domiporta,'2 900',Warszawa,57,2
Domiporta,'5 500',Warszawa,90,4
Domiporta,'3 450',Warszawa,62,2
Domiporta,'2 999',Łódź,50,2
Domiporta,'4 999',Wrocław,47,2
Domiporta,'1 850',Miastków Kościelny,75,3
Domiporta,'4 800',Warszawa,55.54,2
Domiporta,'3 200',Warszawa,40,2
Domiporta,'4 300',Warszawa,35,2
Domiporta,'5 500',Warszawa,103,3
Domiporta,'2 200',Warszawa,35,1
Domiporta,'3 000',Warszawa,37,2
Domiporta,'4 200',Warszawa,72,3
Domiporta,'2 000',Gliwice,27,1
Domiporta,'4 000',Kraków,45,2
Domiporta,'4 300',Kraków,93.06,4
Domiporta,'4 000',Warszawa,60,3
Domiporta,'5 000',Łódź,154,4
Domiporta,'5 500',Warszawa,79,3
Domiporta,'3 000',Warszawa,48,2
Domiporta,'3 200',Warszawa,37,2
Domiporta,'3 500',Łomianki,88.31,4
Domiporta,'4 500',Warszawa,85,3
Domiporta,'3 000',Warszawa,20,1
Domiporta,'2 500',Gdynia,43,2
Domiporta,'2 400',Kraków,48,2
Domiporta,'14 000',Warszawa,164,3
Domiporta,'3 400',Warszawa,62,3
Domiporta,'3 500',Warszawa,49,2
Domiporta,'3 000',Warszawa,43,2
Domiporta,'3 300',Warszawa,36,1
Domiporta,'4 000',Warszawa,60.20,2
Domiporta,'4 500',Warszawa,45,2
Domiporta,'3 000',Warszawa,50,2
Domiporta,'2 490',Zegrze,33,2
Domiporta,'2 400',Warszawa,31,1
Domiporta,'7 500',Warszawa,89,2
Domiporta,'1 700',Warszawa,27,1
Domiporta,'4 500',Krakow,120,3
Domiporta,'4 999',Krakow,79.37,4
Domiporta,'4 000',Warszawa,53.11,2
Domiporta,'2 800',Warszawa,50,2
Domiporta,'3 000',Wrocław,40,2
Domiporta,'35 000',Warszawa,160.47,4
Domiporta,'2 600',Warszawa,38.82,2
Domiporta,'4 500',Gdańsk,51.74,3
Domiporta,'4 400',Gdańsk,70,3
Domiporta,'3 400',Gdańsk,53,3
Domiporta,'2 200',Krakow,28,2
Domiporta,'3 000',Warszawa,36,2
Domiporta,'2 800',Warszawa,43,2
Domiporta,'4 400',Warszawa,53,3
Domiporta,'7 000',Warszawa,100,2
Domiporta,'1 600',Katowice,47,6
Domiporta,'7 500',Warszawa,200,2
Domiporta,'4 200',Warszawa,53,1
Domiporta,'2 800',Warszawa,32,4
Domiporta,'8 000',Warszawa,135,2
Domiporta,'3 550',Warszawa,40,2
Domiporta,'3 500',Warszawa,48,2
Domiporta,'3 000',Warszawa,35,1
Domiporta,'2 400',Warszawa,26,3
Domiporta,'4 600',Warszawa,73,1
Domiporta,'2 500',Warszawa,3232,3
Domiporta,'7 200',Warszawa,94,3
Domiporta,'5 500',Warszawa,78.98,3
Domiporta,'7 500',Warszawa,65.50,4
Domiporta,'10 000',Warszawa,115,3
Domiporta,'2 200',Kraków,47.70,3
Domiporta,'3 900',Kraków,92.70,2
Domiporta,'4 500',Warszawa,38.80,2
Domiporta,'3 200',Warszawa,50,1
Domiporta,'2 100',Poznań,49,2
Domiporta,'3 300',Warszawa,53,3
Domiporta,'4 450',Warszawa,62,1
Domiporta,'3 100',Warszawa,36,2
Domiporta,'3 200',Warszawa,58,2
Domiporta,'3 300',Warszawa,28,5
Domiporta,'8 000',Warszawa,131,3
Domiporta,'4 000',Warszawa,49,2
Domiporta,'4 200',Gdańsk,69,3
Domiporta,'2 500',Gdańsk,38,2
Domiporta,'3 000',Kraków,58,2
Domiporta,'2 650',Wrocław,54,2
Domiporta,'3 500',Wrocław,30.09,1
Domiporta,'2 500',Wrocław,27,1
Domiporta,'2 300',Wrocław,25,1
Domiporta,'2 300',Warszawa,33,2
Domiporta,'3 500',Warszawa,37,1
Domiporta,'3 300',Szczecin,120,3
Domiporta,'3 000',Szczecin,63.70,3
Domiporta,'2 800',Międzyzdroje,26,1
Domiporta,'2 000',Warzymic,70,3
Domiporta,'3 000',Warszawa,55,3
Domiporta,'4 300',Józefosław,150,4
Domiporta,'6 000',Słups,124,3
Domiporta,'3 900',Warszawa,44,2
Domiporta,'3 600',Warszawa,80,3
Domiporta,'11 000',Łódź,121.61,4
Domiporta,'5 000',Łódź,51.64,2
Domiporta,'1 800',Łódź,38,2
Domiporta,'1 500',Łódź,45.13,2
Domiporta,'1 350',Łódź,43.96,2
Domiporta,'2 000',Łódź,103.85,2
Domiporta,'2 100',Łódź,40.14,2
Domiporta,'2 000',Łódź,57,3
Domiporta,'1 800',Łódź,52.01,2
Domiporta,'2 800',Łódź,43.75,2
Domiporta,'1 200',Łódź,56.34,3
Domiporta,'1 800',Warszawa,87,3
Domiporta,'7 500',Gdańsk,47,2
Domiporta,'5 500',Gdynia,144,5
Domiporta,'5 000',Gdańsk,101.64,4
Domiporta,'7 800',Gdynia,84,3
Domiporta,'21 600',Myślenic,77.50,4
Domiporta,'2 200',Warszawa,36,2
Domiporta,'2 500',Warszawa,64.14,2
Domiporta,'7 000',Gdańsk,53.20,2
Domiporta,'4 000',Gdańsk,57.83,2
Domiporta,'5 000',Gdańsk,130,5
Domiporta,'6 500',Gdańsk,50,2
Domiporta,'4 500',Warszawa,64,2
Domiporta,'7 500',Warszawa,64,2
Domiporta,'4 600',Warszawa,16,1
Domiporta,'1 800',Wrocław,59.76,2
Domiporta,'2 800',Wrocław,40,2
Domiporta,'2 900',Kraków,72,3
Domiporta,'3 800',Łódź,35,1
Domiporta,'800',Kraków,44,2
Domiporta,'2 700',Warszawa,107,4
Domiporta,'7 000',Warszawa,44.22,2
Domiporta,'3 000',Kraków,60,3
Domiporta,'2 600',Warszawa,135.02,4
Domiporta,'10 500',Warszawa,36,2
Domiporta,'3 250',Warszawa,60,3
Domiporta,'6 500',Warszawa,92,3
Domiporta,'11 500',Warszawa,49,2
Domiporta,'4 900',Warszawa,60,3
Domiporta,'6 500',Warszawa,24,1
Domiporta,'2 700',Warszawa,39,2
Domiporta,'2 500',Warszawa,20,1
Domiporta,'2 100',Warszawa,52,2
Domiporta,'4 700',Kraków,100,3
Domiporta,'4 000',Warszawa,46,2
Domiporta,'3 800',Katowice,72,3
Domiporta,'3 700',Katowice,72,3
Domiporta,'3 700',Warszawa,60,3
Domiporta,'3 200',Katowice,61,2
Domiporta,'2 699',Warszawa,68,3
Domiporta,'5 700',Piaseczno,49,2
Domiporta,'3 000',Warszawa,120.80,3
Domiporta,'4 900',Warszawa,110,3
Domiporta,'14 990',Warszawa,34.80,2
Domiporta,'3 990',Wrocław,45.04,2
Domiporta,'3 500',Kraków,40.27,2
Domiporta,'3 000',Warszawa,75,2
Domiporta,'5 900',Warszawa,203,6
Domiporta,'11 755',Warszawa,46,2
Domiporta,'3 500',Kobyłk,47,2
Domiporta,'2 500',Częstochowa,39,2
Domiporta,'2 000',Alanya/Kestel,60,2
Domiporta,'5 200',Warszawa,98,3
Domiporta,'5 000',Warszawa,45,2
Domiporta,'4 500',Warszawa,45,2
Domiporta,'4 500',Kraków,112,3
Domiporta,'3 700',Warszawa,42,2
Domiporta,'3 200',Warszawa,27,1
Domiporta,'2 300',Warszawa,36,1
Domiporta,'3 300',Gdańsk,46,2
Domiporta,'2 400',Warszawa,25.29,1
Domiporta,'2 000',Gdynia,51.80,2
Domiporta,'3 000',Lublin,56,3
Domiporta,'3 300',Gdynia,63,2
Domiporta,'3 500',Poznań,56,2
Domiporta,'3 000',Sopot,53.70,3
Domiporta,'2 500',Gdynia,63,3
Domiporta,'3 500',Warszawa,33,1
Domiporta,'1 850',Gdynia,47.39,2
Domiporta,'3 900',Wrocław,31.23,1
Domiporta,'2 250',Warszawa,35,1
Domiporta,'3 000',Radom,45.92,2
Domiporta,'1 650',Zielonki,50,2
Domiporta,'2 100',Gdynia,59,4
Domiporta,'5 750',Warszawa,48,2
Domiporta,'2 800',Kraków,57.60,2
Domiporta,'3 000',Poznań,45.40,2
Domiporta,'2 500',Warszawa,82,4
Domiporta,'7 800',Kraków,28,1
Domiporta,'2 500',Warszawa,50.70,2
Domiporta,'4 500',Warszawa,37,2
Domiporta,'3 000',Warszawa,128,3
Domiporta,'9 500',Gdańsk,39,2
Domiporta,'2 400',Warszawa,47.27,2
Domiporta,'2 800',Kraków,39,2
Domiporta,'2 700',Warszawa,240.28,5
Domiporta,'30 000',Warszawa,92,3
Domiporta,'6 500',Warszawa,85,4
Domiporta,'8 900',Kraków,66.30,3
Domiporta,'3 000',Kraków,46.40,2
Domiporta,'3 000',Kraków,47,3
Domiporta,'2 600',Kraków,27,1
Domiporta,'2 300',Kraków,50,2
Domiporta,'2 200',Kraków,56,2
Domiporta,'2 500',Warszawa,45,3
Domiporta,'3 000',Warszawa,20,1
Domiporta,'1 900',Warszawa,35,2
Domiporta,'2 500',Warszawa,31.76,1
Domiporta,'2 800',Warszawa,55.17,2
Domiporta,'2 900',Warszawa,160.47,4
Domiporta,'35 000',Warszawa,137,6
Domiporta,'13 000',Wałc,119.10,5
Domiporta,'2 000',Gdańsk,60,2
Domiporta,'4 100',Warszawa,102,4
Domiporta,'6 300',Warszawa,200,7
Domiporta,'8 000',Warszawa,39,2
Domiporta,'3 500',Wrocła,29,1
Domiporta,'3 500',Piaseczno,56,3
Domiporta,'2 500',Warszawa,44,2
Domiporta,'3 300',Kraków,37,1
Domiporta,'2 000',Kraków,12,1
Domiporta,'1 900',Kraków,34,2
Domiporta,'3 300',Kraków,75,2
Domiporta,'5 500',Kraków,100,5
Domiporta,'8 000',Kraków,82,3
Domiporta,'2 900',Kraków,55,1
Domiporta,'3 200',Kraków,63,2
Domiporta,'5 450',Kraków,52,2
Domiporta,'6 000',Kraków,44,2
Domiporta,'3 000',Kraków,40,2
Domiporta,'4 000',Kraków,64,2
Domiporta,'2 800',Kraków,73,3
Domiporta,'3 300',Kraków,56,2
Domiporta,'3 400',Kraków,37,2
Domiporta,'2 400',Kraków,42,2
Domiporta,'3 000',Kraków,71,2
Domiporta,'3 500',Kraków,34,2
Domiporta,'2 700',Kraków,37,2
Domiporta,'2 500',Kraków,52,3
Domiporta,'2 600',Gdańsk,38,2
Domiporta,'2 700',Warszawa,125,4
Domiporta,'9 000',Kraków,24,1
Domiporta,'2 200',Kraków,54,3
Domiporta,'3 000',Kraków,31.12,1
Domiporta,'1 200',Kraków,37,1
Domiporta,'2 000',Kraków,41.28,2
Domiporta,'3 000',Kraków,55,2
Domiporta,'2 200',Kraków,117,4
Domiporta,'6 500',Kraków,43,2
Domiporta,'2 000',Kraków,27,2
Domiporta,'2 300',Kraków,36,1
Domiporta,'2 600',Warszawa,32.40,1
Domiporta,'3 900',Warszawa,82,4
Domiporta,'3 400',Warzymic,85.80,3
Domiporta,'3 800',Szczecin,59,3
Domiporta,'2 400',Józefosław,77,3
Domiporta,'4 850',Warszawa,55,2
Domiporta,'5 500',Warszawa,86,3
Domiporta,'4 450',Warszawa,41,2
Domiporta,'3 300',Warszawa,59,3
Domiporta,'4 000',Warszawa,102,3
Domiporta,'5 900',Warszawa,115,3
Domiporta,'15 000',Warszawa,108,3
Domiporta,'8 000',Gdańsk,53,2
Domiporta,'3 000',Warszawa,73,3
Domiporta,'10 900',Warszawa,161,4
Domiporta,'35 000',Warszawa,92.20,3
Domiporta,'8 000',Warszawa,55.80,2
Domiporta,'3 000',Warszawa,46,2
Domiporta,'3 500',Warszawa,52,2
Domiporta,'4 000',Warszawa,52,2
Domiporta,'4 500',Warszawa,52.70,2
Domiporta,'3 550',Warszawa,45,2
Domiporta,'3 500',Warszawa,110,4
Domiporta,'5 900',Kraków,74.80,3
Domiporta,'3 800',Gdańsk,32,2
Domiporta,'2 350',Warszawa,38,2
Domiporta,'4 000',Kraków,37,2
Domiporta,'1 800',Kraków,45,2
Domiporta,'2 000',Kraków,48.30,3
Domiporta,'2 300',Kraków,39.60,2
Domiporta,'2 000',Kraków,38,2
Domiporta,'2 100',Kraków,54.18,2
Domiporta,'2 500',Warszawa,52,2
Domiporta,'3 800',Kraków,80,4
Domiporta,'4 000',Kraków,75,3
Domiporta,'4 500',Kraków,85,3
Domiporta,'2 500',Kraków,68,2
Domiporta,'4 000',Gdańsk,37.30,2
Domiporta,'2 500',Warszawa,63.36,3
Domiporta,'3 400',Warszawa,72,3
Domiporta,'3 980',Warszawa,21,1
Domiporta,'1 500',Warszawa,20,1
Domiporta,'900',Warszawa,38,2
Domiporta,'3 300',Warszawa,197,4
Domiporta,'12 000',Warszawa,28,1
Domiporta,'3 500',Warszawa,37,2
Domiporta,'3 000',Lublin,55.76,3
Domiporta,'3 300',Lublin,73,3
Domiporta,'3 000',Kraków,100,4
Domiporta,'3 500',Kraków,50,2
Domiporta,'2 200',Warszawa,83,3
Domiporta,'4 500',Warszawa,65,3
Domiporta,'6 500',Warszawa,68.28,3
Domiporta,'5 000',Warszawa,72,3
